ID,Firstname,Surname,Born,Gender,Year,CategoryID,Share,Motivation,Affiliation at time of award,City,CountryID
341,Thomas Hunt,Morgan,09/25/1866,1,1933,4,1,"""for his discoveries concerning the role played by the chromosome in heredity""",California Institute of Technology (Caltech),"Pasadena, CA",64
342,George Hoyt,Whipple,08/28/1878,1,1934,4,3,"""for their discoveries concerning liver therapy in cases of anaemia""",University of Rochester,"Rochester, NY",64
343,George Richards,Minot,12/02/1885,1,1934,4,3,"""for their discoveries concerning liver therapy in cases of anaemia""",Harvard University,"Cambridge, MA",64
344,William Parry,Murphy,02/06/1892,1,1934,4,3,"""for their discoveries concerning liver therapy in cases of anaemia""",Peter Brent Brigham Hospital,"Boston, MA",64
345,William Parry,Murphy,02/06/1892,1,1934,4,3,"""for their discoveries concerning liver therapy in cases of anaemia""",Harvard University,"Cambridge, MA",64
346,Hans,Spemann,06/27/1869,1,1935,4,1,"""for his discovery of the organizer effect in embryonic development""",University of Freiburg im Breisgau,Breisgau,20
347,Sir Henry Hallett,Dale,06/09/1875,1,1936,4,2,"""for their discoveries relating to chemical transmission of nerve impulses""",National Institute for Medical Research,London,63
348,Otto,Loewi,06/03/1873,1,1936,4,2,"""for their discoveries relating to chemical transmission of nerve impulses""",Graz University,Graz,4
349,Albert,von Szent-Gy_rgyi Nagyrˆpolt,09/16/1893,1,1937,4,1,"""for his discoveries in connection with the biological combustion processes, with special reference to vitamin C and the catalysis of fumaric acid""",Szeged University,Szeged,26
350,Corneille Jean Franois,Heymans,03/28/1892,1,1938,4,1,"""for the discovery of the role played by the sinus and aortic mechanisms in the regulation of respiration""",Ghent University,Ghent,6
351,Gerhard,Domagk,10/30/1895,1,1939,4,1,"""for the discovery of the antibacterial effects of prontosil""",Munster University,Munster,20
352,Henrik Carl Peter,Dam,02/21/1895,1,1943,4,2,"""for his discovery of vitamin K""",Polytechnic Institute,Copenhagen,15
353,Edward Adelbert,Doisy,11/13/1893,1,1943,4,2,"""for his discovery of the chemical nature of vitamin K""",Saint Louis University,"St. Louis, MO",64
354,Joseph,Erlanger,01/05/1874,1,1944,4,2,"""for their discoveries relating to the highly differentiated functions of single nerve fibres""",Washington University,"St. Louis, MO",64
355,Herbert Spencer,Gasser,07/05/1888,1,1944,4,2,"""for their discoveries relating to the highly differentiated functions of single nerve fibres""",Rockefeller Institute for Medical Research,"New York, NY",64
356,Sir Alexander,Fleming,08/06/1881,1,1945,4,3,"""for the discovery of penicillin and its curative effect in various infectious diseases""",London University,London,63
357,Ernst Boris,Chain,6/19/1906,1,1945,4,3,"""for the discovery of penicillin and its curative effect in various infectious diseases""",University of Oxford,Oxford,63
358,Sir Howard Walter,Florey,09/24/1898,1,1945,4,3,"""for the discovery of penicillin and its curative effect in various infectious diseases""",University of Oxford,Oxford,63
359,Hermann Joseph,Muller,12/21/1890,1,1946,4,1,"""for the discovery of the production of mutations by means of X-ray irradiation""",Indiana University,"Bloomington, IN",64
360,Carl Ferdinand,Cori,12/05/1896,1,1947,4,4,"""for their discovery of the course of the catalytic conversion of glycogen""",Washington University,"St. Louis, MO",64
361,Gerty Theresa,"Cori, n_e Radnitz",08/15/1896,0,1947,4,4,"""for their discovery of the course of the catalytic conversion of glycogen""",Washington University,"St. Louis, MO",64
362,Bernardo Alberto,Houssay,04/10/1887,1,1947,4,2,"""for his discovery of the part played by the hormone of the anterior pituitary lobe in the metabolism of sugar""",Instituto de Biologia y Medicina Experimental (Institute for Biology and Experimental Medicine),Buenos Aires,2
363,Paul Hermann,Môller,01/12/1899,1,1948,4,1,"""for his discovery of the high efficiency of DDT as a contact poison against several arthropods""",Laboratorium der Farben-Fabriken J.R. Geigy A.G. (Laboratory of the J.R. Geigy Dye-Factory Co.),Basel,57
364,Walter Rudolf,Hess,03/17/1881,1,1949,4,2,"""for his discovery of the functional organization of the interbrain as a coordinator of the activities of the internal organs""",University of Zurich,Zurich,57
365,Antonio Caetano de Abreu Freire Egas,Moniz,11/29/1874,1,1949,4,2,"""for his discovery of the therapeutic value of leucotomy in certain psychoses""",University of Lisbon,Lisbon,48
366,Antonio Caetano de Abreu Freire Egas,Moniz,11/29/1874,1,1949,4,2,"""for his discovery of the therapeutic value of leucotomy in certain psychoses""",Neurological Institute,Lisbon,48
367,Edward Calvin,Kendall,03/08/1886,1,1950,4,3,"""for their discoveries relating to the hormones of the adrenal cortex, their structure and biological effects""",Mayo Clinic,"Rochester, MN",64
368,Tadeus,Reichstein,07/20/1897,1,1950,4,3,"""for their discoveries relating to the hormones of the adrenal cortex, their structure and biological effects""",Basel University,Basel,57
369,Philip Showalter,Hench,02/28/1896,1,1950,4,3,"""for their discoveries relating to the hormones of the adrenal cortex, their structure and biological effects""",Mayo Clinic,"Rochester, MN",64
370,Max,Theiler,01/30/1899,1,1951,4,1,"""for his discoveries concerning yellow fever and how to combat it""","Laboratories of the Division of Medicine and Public Health, Rockefeller Foundation","New York, NY",64
371,Selman Abraham,Waksman,07/22/1888,1,1952,4,1,"""for his discovery of streptomycin, the first antibiotic effective against tuberculosis""",Rutgers University,"New Brunswick, NJ",64
372,Hans Adolf,Krebs,8/25/1900,1,1953,4,2,"""for his discovery of the citric acid cycle""",Sheffield University,Sheffield,63
373,Fritz Albert,Lipmann,06/12/1899,1,1953,4,2,"""for his discovery of co-enzyme A and its importance for intermediary metabolism""",Harvard Medical School,"Boston, MA",64
374,Fritz Albert,Lipmann,06/12/1899,1,1953,4,2,"""for his discovery of co-enzyme A and its importance for intermediary metabolism""",Massachusetts General Hospital,"Boston, MA",64
375,John Franklin,Enders,02/10/1897,1,1954,4,3,"""for their discovery of the ability of poliomyelitis viruses to grow in cultures of various types of tissue""",Harvard Medical School,"Boston, MA",64
376,John Franklin,Enders,02/10/1897,1,1954,4,3,"""for their discovery of the ability of poliomyelitis viruses to grow in cultures of various types of tissue""","Research Division of Infectious Diseases, Children's Medical Center","Boston, MA",64
377,Thomas Huckle,Weller,6/15/1915,1,1954,4,3,"""for their discovery of the ability of poliomyelitis viruses to grow in cultures of various types of tissue""","Research Division of Infectious Diseases, Children's Medical Center","Boston, MA",64
378,Frederick Chapman,Robbins,8/25/1916,1,1954,4,3,"""for their discovery of the ability of poliomyelitis viruses to grow in cultures of various types of tissue""",Western Reserve University,"Cleveland, OH",64
379,Axel Hugo Theodor,Theorell,7/06/1903,1,1955,4,1,"""for his discoveries concerning the nature and mode of action of oxidation enzymes""","Karolinska Institutet, Nobel Medical Institute",Stockholm,56
380,Andr_ Fr_d_ric,Cournand,09/24/1895,1,1956,4,3,"""for their discoveries concerning heart catheterization and pathological changes in the circulatory system""","Columbia University Division, Cardio-Pulmonary Laboratory, Bellevue Hospital","New York, NY",64
381,Werner,Forssmann,8/29/1904,1,1956,4,3,"""for their discoveries concerning heart catheterization and pathological changes in the circulatory system""",,Bad Kreuznach,20
382,Werner,Forssmann,8/29/1904,1,1956,4,3,"""for their discoveries concerning heart catheterization and pathological changes in the circulatory system""",Mainz University,Mainz,20
383,Dickinson W.,Richards,10/30/1895,1,1956,4,3,"""for their discoveries concerning heart catheterization and pathological changes in the circulatory system""",Columbia University,"New York, NY",64
384,Daniel,Bovet,3/23/1907,1,1957,4,1,"""for his discoveries relating to synthetic compounds that inhibit the action of certain body substances, and especially their action on the vascular system and the skeletal muscles""",Istituto Superiore di Sanitš (Chief Institute of Public Health),Rome,33
385,George Wells,Beadle,10/22/1903,1,1958,4,4,"""for their discovery that genes act by regulating definite chemical events""",California Institute of Technology (Caltech),"Pasadena, CA",64
386,Edward Lawrie,Tatum,12/14/1909,1,1958,4,4,"""for their discovery that genes act by regulating definite chemical events""",Rockefeller Institute for Medical Research,"New York, NY",64
387,Joshua,Lederberg,5/23/1925,1,1958,4,2,"""for his discoveries concerning genetic recombination and the organization of the genetic material of bacteria""",University of Wisconsin,"Madison, WI",64
388,Severo,Ochoa,9/24/1905,1,1959,4,2,"""for their discovery of the mechanisms in the biological synthesis of ribonucleic acid and deoxyribonucleic acid""","New York University, College of Medicine","New York, NY",64
389,Arthur,Kornberg,3/03/1918,1,1959,4,2,"""for their discovery of the mechanisms in the biological synthesis of ribonucleic acid and deoxyribonucleic acid""",Stanford University,"Stanford, CA",64
390,Sir Frank Macfarlane,Burnet,09/03/1899,1,1960,4,2,"""for discovery of acquired immunological tolerance""",Walter and Eliza Hall Institute for Medical Research,Melbourne,3
391,Peter Brian,Medawar,2/28/1915,1,1960,4,2,"""for discovery of acquired immunological tolerance""",University College,London,63
392,Georg,von B_k_sy,06/03/1899,1,1961,4,1,"""for his discoveries of the physical mechanism of stimulation within the cochlea""",Harvard University,"Cambridge, MA",64
393,Francis Harry Compton,Crick,6/08/1916,1,1962,4,3,"""for their discoveries concerning the molecular structure of nucleic acids and its significance for information transfer in living material""",MRC Laboratory of Molecular Biology,Cambridge,63
394,James Dewey,Watson,4/06/1928,1,1962,4,3,"""for their discoveries concerning the molecular structure of nucleic acids and its significance for information transfer in living material""",Harvard University,"Cambridge, MA",64
395,Maurice Hugh Frederick,Wilkins,12/15/1916,1,1962,4,3,"""for their discoveries concerning the molecular structure of nucleic acids and its significance for information transfer in living material""",London University,London,63
396,Sir John Carew,Eccles,1/27/1903,1,1963,4,3,"""for their discoveries concerning the ionic mechanisms involved in excitation and inhibition in the peripheral and central portions of the nerve cell membrane""",Australian National University,Canberra,3
397,Alan Lloyd,Hodgkin,2/05/1914,1,1963,4,3,"""for their discoveries concerning the ionic mechanisms involved in excitation and inhibition in the peripheral and central portions of the nerve cell membrane""",University of Cambridge,Cambridge,63
398,Andrew Fielding,Huxley,11/22/1917,1,1963,4,3,"""for their discoveries concerning the ionic mechanisms involved in excitation and inhibition in the peripheral and central portions of the nerve cell membrane""",University College,London,63
399,Konrad,Bloch,1/21/1912,1,1964,4,2,"""for their discoveries concerning the mechanism and regulation of the cholesterol and fatty acid metabolism""",Harvard University,"Cambridge, MA",64
400,Feodor,Lynen,4/06/1911,1,1964,4,2,"""for their discoveries concerning the mechanism and regulation of the cholesterol and fatty acid metabolism""",Max-Planck-Institut fôr Zellchemie,Munich,20
401,Franois,Jacob,6/17/1920,1,1965,4,3,"""for their discoveries concerning genetic control of enzyme and virus synthesis""",Institut Pasteur,Paris,19
402,Andr_,Lwoff,5/08/1902,1,1965,4,3,"""for their discoveries concerning genetic control of enzyme and virus synthesis""",Institut Pasteur,Paris,19
403,Jacques,Monod,2/09/1910,1,1965,4,3,"""for their discoveries concerning genetic control of enzyme and virus synthesis""",Institut Pasteur,Paris,19
404,Peyton,Rous,10/05/1879,1,1966,4,2,"""for his discovery of tumour-inducing viruses""",Rockefeller University,"New York, NY",64
405,Charles Brenton,Huggins,9/22/1901,1,1966,4,2,"""for his discoveries concerning hormonal treatment of prostatic cancer""","University of Chicago, Ben May Laboratory for Cancer Research","Chicago, IL",64
406,Ragnar,Granit,10/30/1900,1,1967,4,3,"""for their discoveries concerning the primary physiological and chemical visual processes in the eye""",Karolinska Institutet,Stockholm,56
407,Haldan Keffer,Hartline,12/22/1903,1,1967,4,3,"""for their discoveries concerning the primary physiological and chemical visual processes in the eye""",Rockefeller University,"New York, NY",64
408,George,Wald,11/18/1906,1,1967,4,3,"""for their discoveries concerning the primary physiological and chemical visual processes in the eye""",Harvard University,"Cambridge, MA",64
409,Robert W.,Holley,1/28/1922,1,1968,4,3,"""for their interpretation of the genetic code and its function in protein synthesis""",Cornell University,"Ithaca, NY",64
410,Har Gobind,Khorana,1/09/1922,1,1968,4,3,"""for their interpretation of the genetic code and its function in protein synthesis""",University of Wisconsin,"Madison, WI",64
411,Marshall W.,Nirenberg,4/10/1927,1,1968,4,3,"""for their interpretation of the genetic code and its function in protein synthesis""",National Institutes of Health,"Bethesda, MD",64
412,Max,Delbrôck,9/04/1906,1,1969,4,3,"""for their discoveries concerning the replication mechanism and the genetic structure of viruses""",California Institute of Technology (Caltech),"Pasadena, CA",64
413,Alfred D.,Hershey,12/04/1908,1,1969,4,3,"""for their discoveries concerning the replication mechanism and the genetic structure of viruses""",Carnegie Institution of Washington,"Long Island, New York, NY",64
414,Salvador E.,Luria,8/13/1912,1,1969,4,3,"""for their discoveries concerning the replication mechanism and the genetic structure of viruses""",Massachusetts Institute of Technology (MIT),"Cambridge, MA",64
415,Sir Bernard,Katz,3/26/1911,1,1970,4,3,"""for their discoveries concerning the humoral transmittors in the nerve terminals and the mechanism for their storage, release and inactivation""",University College,London,63
416,Ulf,von Euler,2/07/1905,1,1970,4,3,"""for their discoveries concerning the humoral transmittors in the nerve terminals and the mechanism for their storage, release and inactivation""",Karolinska Institutet,Stockholm,56
417,Julius,Axelrod,5/30/1912,1,1970,4,3,"""for their discoveries concerning the humoral transmittors in the nerve terminals and the mechanism for their storage, release and inactivation""",National Institutes of Health,"Bethesda, MD",64
418,Earl W.,"Sutherland, Jr.",11/19/1915,1,1971,4,1,"""for his discoveries concerning the mechanisms of the action of hormones""",Vanderbilt University,"Nashville, TN",64
419,Gerald M.,Edelman,7/01/1929,1,1972,4,2,"""for their discoveries concerning the chemical structure of antibodies""",Rockefeller University,"New York, NY",64
420,Rodney R.,Porter,10/08/1917,1,1972,4,2,"""for their discoveries concerning the chemical structure of antibodies""",University of Oxford,Oxford,63
421,Karl,von Frisch,11/20/1886,1,1973,4,3,"""for their discoveries concerning organization and elicitation of individual and social behaviour patterns""",Zoologisches Institut der Universit_t Mônchen,Munich,20
422,Konrad,Lorenz,11/07/1903,1,1973,4,3,"""for their discoveries concerning organization and elicitation of individual and social behaviour patterns""","Konrad-Lorenz-Institut der ƒsterreichischen Akademie der Wissen_schaften, Forschungsstelle fôr Ethologie",Altenberg; Grônau im Almtal,4
423,Nikolaas,Tinbergen,4/15/1907,1,1973,4,3,"""for their discoveries concerning organization and elicitation of individual and social behaviour patterns""",University of Oxford,Oxford,63
424,Albert,Claude,08/24/1898,1,1974,4,3,"""for their discoveries concerning the structural and functional organization of the cell""",Universit_ Catholique de Louvain,Louvain,6
425,Christian,de Duve,10/02/1917,1,1974,4,3,"""for their discoveries concerning the structural and functional organization of the cell""",Universit_ Catholique de Louvain,Louvain,6
426,Christian,de Duve,10/02/1917,1,1974,4,3,"""for their discoveries concerning the structural and functional organization of the cell""",Rockefeller University,"New York, NY",64
427,George E.,Palade,11/19/1912,1,1974,4,3,"""for their discoveries concerning the structural and functional organization of the cell""","Yale University, School of Medicine","New Haven, CT",64
428,David,Baltimore,3/07/1938,1,1975,4,3,"""for their discoveries concerning the interaction between tumour viruses and the genetic material of the cell""",Massachusetts Institute of Technology (MIT),"Cambridge, MA",64
429,Renato,Dulbecco,2/22/1914,1,1975,4,3,"""for their discoveries concerning the interaction between tumour viruses and the genetic material of the cell""",Imperial Cancer Research Fund Laboratory,London,63
430,Howard Martin,Temin,12/10/1934,1,1975,4,3,"""for their discoveries concerning the interaction between tumour viruses and the genetic material of the cell""",University of Wisconsin,"Madison, WI",64
431,Baruch S.,Blumberg,7/28/1925,1,1976,4,2,"""for their discoveries concerning new mechanisms for the origin and dissemination of infectious diseases""",The Institute for Cancer Research,"Philadelphia, PA",64
432,D. Carleton,Gajdusek,9/09/1923,1,1976,4,2,"""for their discoveries concerning new mechanisms for the origin and dissemination of infectious diseases""",National Institutes of Health,"Bethesda, MD",64
433,Roger,Guillemin,1/11/1924,1,1977,4,4,"""for their discoveries concerning the peptide hormone production of the brain""",The Salk Institute,"San Diego, CA",64
434,Andrew V.,Schally,11/30/1926,1,1977,4,4,"""for their discoveries concerning the peptide hormone production of the brain""",Veterans Administration Hospital,"New Orleans, LA",64
435,Rosalyn,Yalow,7/19/1921,0,1977,4,2,"""for the development of radioimmunoassays of peptide hormones""",Veterans Administration Hospital,"Bronx, NY",64
436,Werner,Arber,6/03/1929,1,1978,4,3,"""for the discovery of restriction enzymes and their application to problems of molecular genetics""",Biozentrum der Universit_t,Basel,57
437,Daniel,Nathans,10/30/1928,1,1978,4,3,"""for the discovery of restriction enzymes and their application to problems of molecular genetics""",Johns Hopkins University School of Medicine,"Baltimore, MD",64
438,Hamilton O.,Smith,8/23/1931,1,1978,4,3,"""for the discovery of restriction enzymes and their application to problems of molecular genetics""",Johns Hopkins University School of Medicine,"Baltimore, MD",64
439,Allan M.,Cormack,2/23/1924,1,1979,4,2,"""for the development of computer assisted tomography""",Tufts University,"Medford, MA",64
440,Godfrey N.,Hounsfield,8/28/1919,1,1979,4,2,"""for the development of computer assisted tomography""","Central Research Laboratories, EMI",London,63
441,Baruj,Benacerraf,10/29/1920,1,1980,4,3,"""for their discoveries concerning genetically determined structures on the cell surface that regulate immunological reactions""",Harvard Medical School,"Boston, MA",64
442,Jean,Dausset,10/19/1916,1,1980,4,3,"""for their discoveries concerning genetically determined structures on the cell surface that regulate immunological reactions""","Universit_ de Paris, Laboratoire Immuno-H_matologie",Paris,19
443,George D.,Snell,12/19/1903,1,1980,4,3,"""for their discoveries concerning genetically determined structures on the cell surface that regulate immunological reactions""",Jackson Laboratory,"Bar Harbor, ME",64
444,Roger W.,Sperry,8/19/1913,1,1981,4,2,"""for his discoveries concerning the functional specialization of the cerebral hemispheres""",California Institute of Technology (Caltech),"Pasadena, CA",64
445,David H.,Hubel,2/27/1926,1,1981,4,4,"""for their discoveries concerning information processing in the visual system""",Harvard Medical School,"Boston, MA",64
446,Torsten N.,Wiesel,6/03/1924,1,1981,4,4,"""for their discoveries concerning information processing in the visual system""",Harvard Medical School,"Boston, MA",64
447,Sune K.,Bergstr_m,1/10/1916,1,1982,4,3,"""for their discoveries concerning prostaglandins and related biologically active substances""",Karolinska Institutet,Stockholm,56
448,Bengt I.,Samuelsson,5/21/1934,1,1982,4,3,"""for their discoveries concerning prostaglandins and related biologically active substances""",Karolinska Institutet,Stockholm,56
449,John R.,Vane,3/29/1927,1,1982,4,3,"""for their discoveries concerning prostaglandins and related biologically active substances""",The Wellcome Research Laboratories,Beckenham,63
450,Barbara,McClintock,6/16/1902,0,1983,4,1,"""for her discovery of mobile genetic elements""",Cold Spring Harbor Laboratory,"Cold Spring Harbor, NY",64
451,Niels K.,Jerne,12/23/1911,1,1984,4,3,"""for theories concerning the specificity in development and control of the immune system and the discovery of the principle for production of monoclonal antibodies""",Basel Institute for Immunology,Basel,57
452,Georges J.F.,K_hler,4/17/1946,1,1984,4,3,"""for theories concerning the specificity in development and control of the immune system and the discovery of the principle for production of monoclonal antibodies""",Basel Institute for Immunology,Basel,57
453,C_sar,Milstein,10/08/1927,1,1984,4,3,"""for theories concerning the specificity in development and control of the immune system and the discovery of the principle for production of monoclonal antibodies""",MRC Laboratory of Molecular Biology,Cambridge,63
454,Michael S.,Brown,4/13/1941,1,1985,4,2,"""for their discoveries concerning the regulation of cholesterol metabolism""",University of Texas Southwestern Medical Center at Dallas,"Dallas, TX",64
455,Joseph L.,Goldstein,4/18/1940,1,1985,4,2,"""for their discoveries concerning the regulation of cholesterol metabolism""",University of Texas Southwestern Medical Center at Dallas,"Dallas, TX",64
456,Stanley,Cohen,11/17/1922,1,1986,4,2,"""for their discoveries of growth factors""",Vanderbilt University School of Medicine,"Nashville, TN",64
457,Rita,Levi-Montalcini,4/22/1909,0,1986,4,2,"""for their discoveries of growth factors""",Institute of Cell Biology of the C.N.R.,Rome,33
458,Susumu,Tonegawa,9/06/1939,1,1987,4,1,"""for his discovery of the genetic principle for generation of antibody diversity""",Massachusetts Institute of Technology (MIT),"Cambridge, MA",64
459,Sir James W.,Black,6/14/1924,1,1988,4,3,"""for their discoveries of important principles for drug treatment""","London University, King's College Hospital Medical School",London,63
460,Gertrude B.,Elion,1/23/1918,0,1988,4,3,"""for their discoveries of important principles for drug treatment""",Wellcome Research Laboratories,"Research Triangle Park, NC",64
461,George H.,Hitchings,4/18/1905,1,1988,4,3,"""for their discoveries of important principles for drug treatment""",Wellcome Research Laboratories,"Research Triangle Park, NC",64
462,J. Michael,Bishop,2/22/1936,1,1989,4,2,"""for their discovery of the cellular origin of retroviral oncogenes""",University of California School of Medicine,"San Francisco, CA",64
463,Harold E.,Varmus,12/18/1939,1,1989,4,2,"""for their discovery of the cellular origin of retroviral oncogenes""",University of California School of Medicine,"San Francisco, CA",64
464,Joseph E.,Murray,4/01/1919,1,1990,4,2,"""for their discoveries concerning organ and cell transplantation in the treatment of human disease""",Brigham and Women's Hospital,"Boston, MA",64
465,E. Donnall,Thomas,3/15/1920,1,1990,4,2,"""for their discoveries concerning organ and cell transplantation in the treatment of human disease""",Fred Hutchinson Cancer Research Center,"Seattle, WA",64
466,Erwin,Neher,3/20/1944,1,1991,4,2,"""for their discoveries concerning the function of single ion channels in cells""",Max-Planck-Institut fôr Biophysikalische Chemie,G_ttingen,20
467,Bert,Sakmann,6/12/1942,1,1991,4,2,"""for their discoveries concerning the function of single ion channels in cells""",Max-Planck-Institut fôr medizinische Forschung,Heidelberg,20
468,Edmond H.,Fischer,4/06/1920,1,1992,4,2,"""for their discoveries concerning reversible protein phosphorylation as a biological regulatory mechanism""",University of Washington,"Seattle, WA",64
469,Edwin G.,Krebs,6/06/1918,1,1992,4,2,"""for their discoveries concerning reversible protein phosphorylation as a biological regulatory mechanism""",University of Washington,"Seattle, WA",64
470,Richard J.,Roberts,9/06/1943,1,1993,4,2,"""for their discoveries of split genes""",New England Biolabs,"Beverly, MA",64
471,Phillip A.,Sharp,6/06/1944,1,1993,4,2,"""for their discoveries of split genes""","Massachusetts Institute of Technology (MIT), Center for Cancer Research","Cambridge, MA",64
472,Alfred G.,Gilman,7/01/1941,1,1994,4,2,"""for their discovery of G-proteins and the role of these proteins in signal transduction in cells""",University of Texas Southwestern Medical Center at Dallas,"Dallas, TX",64
473,Martin,Rodbell,12/01/1925,1,1994,4,2,"""for their discovery of G-proteins and the role of these proteins in signal transduction in cells""",National Institute of Environmental Health Sciences,"Research Triangle Park, NC",64
474,Edward B.,Lewis,5/19/1918,1,1995,4,3,"""for their discoveries concerning the genetic control of early embryonic development""",California Institute of Technology (Caltech),"Pasadena, CA",64
475,Christiane,Nôsslein-Volhard,10/20/1942,0,1995,4,3,"""for their discoveries concerning the genetic control of early embryonic development""",Max-Planck-Institut fôr Entwicklungsbiologie,Tôbingen,20
476,Eric F.,Wieschaus,6/08/1947,1,1995,4,3,"""for their discoveries concerning the genetic control of early embryonic development""",Princeton University,"Princeton, NJ",64
477,Peter C.,Doherty,10/15/1940,1,1996,4,2,"""for their discoveries concerning the specificity of the cell mediated immune defence""",St. Jude Children's Research Hospital,"Memphis, TN",64
478,Rolf M.,Zinkernagel,1/06/1944,1,1996,4,2,"""for their discoveries concerning the specificity of the cell mediated immune defence""","University of Zurich, Institute of Experimental Immunology",Zurich,57
479,Stanley B.,Prusiner,5/28/1942,1,1997,4,1,"""for his discovery of Prions - a new biological principle of infection""",University of California School of Medicine,"San Francisco, CA",64
480,Robert F.,Furchgott,6/04/1916,1,1998,4,3,"""for their discoveries concerning nitric oxide as a signalling molecule in the cardiovascular system""",SUNY Health Science Center,"Brooklyn, NY",64
481,Louis J.,Ignarro,5/31/1941,1,1998,4,3,"""for their discoveries concerning nitric oxide as a signalling molecule in the cardiovascular system""",University of California School of Medicine,"Los Angeles, CA",64
482,Ferid,Murad,9/14/1936,1,1998,4,3,"""for their discoveries concerning nitric oxide as a signalling molecule in the cardiovascular system""",University of Texas Medical School at Houston,"Houston, TX",64
483,Gônter,Blobel,5/21/1936,1,1999,4,1,"""for the discovery that proteins have intrinsic signals that govern their transport and localization in the cell""",Rockefeller University,"New York, NY",64
484,Gônter,Blobel,5/21/1936,1,1999,4,1,"""for the discovery that proteins have intrinsic signals that govern their transport and localization in the cell""",Howard Hughes Medical Institute,,20
485,Jean Henry,Dunant,05/08/1828,1,1901,5,2,,,,57
486,Fr_d_ric,Passy,05/20/1822,1,1901,5,2,,,,19
487,€lie,Ducommun,02/19/1833,1,1902,5,2,,,,57
488,Charles Albert,Gobat,05/21/1843,1,1902,5,2,,,,57
489,William Randal,Cremer,03/18/1828,1,1903,5,1,,,,63
490,Institut de droit international (Institute of International Law),,,org,1904,5,1,,,,29
491,Baroness Bertha Sophie Felicita,"von Suttner, n_e Countess Kinsky von Chinic und Tettau",06/09/1843,0,1905,5,1,,,,4
492,Theodore,Roosevelt,10/27/1858,1,1906,5,1,,,,64
493,Ernesto Teodoro,Moneta,09/20/1833,1,1907,5,2,,,,33
494,Louis,Renault,05/21/1843,1,1907,5,2,,Sorbonne University,Paris,19
495,Klas Pontus,Arnoldson,10/27/1844,1,1908,5,2,,,,56
496,Fredrik,Bajer,04/21/1837,1,1908,5,2,,,,15
497,Auguste Marie Francois,Beernaert,07/26/1829,1,1909,5,2,,,,6
498,Paul Henri Benjamin Balluet,"d'Estournelles de Constant, Baron de Constant de Rebecque",11/22/1852,1,1909,5,2,,,,19
499,Bureau international permanent de la Paix (Permanent International Peace Bureau),,,org,1910,5,1,,,,29
500,Tobias Michael Carel,Asser,04/28/1838,1,1911,5,2,,,,58
501,Alfred Hermann,Fried,11/11/1864,1,1911,5,2,,,,4
502,Elihu,Root,02/15/1845,1,1912,5,1,,,,64
503,Henri,La Fontaine,04/22/1854,1,1913,5,1,,,,6
504,Comit_ international de la Croix Rouge (International Committee of the Red Cross),,,org,1917,5,1,,,,29
505,Comit_ international de la Croix Rouge (International Committee of the Red Cross),,,org,1944,5,1,,,,29
506,Comit_ international de la Croix Rouge (International Committee of the Red Cross),,,org,1963,5,2,,,,29
507,Thomas Woodrow,Wilson,12/28/1856,1,1919,5,1,,,,64
508,L_on Victor Auguste,Bourgeois,05/21/1851,1,1920,5,1,,,,19
509,Karl Hjalmar,Branting,11/23/1860,1,1921,5,2,,,,56
510,Christian Lous,Lange,09/17/1869,1,1921,5,2,,,,44
511,Fridtjof,Nansen,10/10/1861,1,1922,5,1,,,,44
512,Sir Austen,Chamberlain,10/16/1863,1,1925,5,2,,,,63
513,Charles Gates,Dawes,08/27/1865,1,1925,5,2,,,,64
514,Aristide,Briand,03/28/1862,1,1926,5,2,,,,19
515,Gustav,Stresemann,05/10/1878,1,1926,5,2,,,,20
516,Ferdinand,Buisson,12/20/1841,1,1927,5,2,,,,19
517,Ludwig,Quidde,03/23/1858,1,1927,5,2,,,,20
518,Frank Billings,Kellogg,12/22/1856,1,1929,5,1,,,,64
519,Lars Olof Jonathan (Nathan),S_derblom,01/15/1866,1,1930,5,1,,,,56
520,Jane,Addams,09/06/1860,0,1931,5,2,,,,64
521,Nicholas Murray,Butler,04/02/1862,1,1931,5,2,,Columbia University,"New York, NY",64
522,Sir Norman,Angell (Ralph Lane),12/26/1872,1,1933,5,1,,,,#N/A
523,Arthur,Henderson,09/13/1863,1,1934,5,1,,,,#N/A
524,Carl,von Ossietzky,10/03/1889,1,1935,5,1,,,,20
525,Carlos,Saavedra Lamas,11/01/1878,1,1936,5,1,,,,2
526,"Cecil of Chelwood, Viscount",(Lord Edgar Algernon Robert Gascoyne Cecil),09/14/1864,1,1937,5,1,,,,#N/A
527,Office international Nansen pour les R_fugi_s (Nansen International Office for Refugees),,,org,1938,5,1,,,,29
528,Cordell,Hull,10/02/1871,1,1945,5,1,,,,64
529,Emily Greene,Balch,01/08/1867,0,1946,5,2,,,,64
530,John Raleigh,Mott,05/25/1865,1,1946,5,2,,,,64
531,Friends Service Council (The Quakers),,,org,1947,5,2,,,,64
532,American Friends Service Committee (The Quakers),,,org,1947,5,2,,,,64
533,Lord (John),Boyd Orr of Brechin,09/23/1880,1,1949,5,1,,,,53
534,Ralph,Bunche,8/07/1904,1,1950,5,1,,Harvard University,"Cambridge, MA",64
535,L_on,Jouhaux,07/01/1879,1,1951,5,1,,,,19
536,Albert,Schweitzer,01/14/1875,1,1952,5,1,,,,19
537,George Catlett,Marshall,12/31/1880,1,1953,5,1,,,,64
